Alpha, EGS, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF
0.001,   0.1, .5625, .5625, 0.033, -.033, .0175, -.017, .0138, -.014
0.001,   0.1,   0.5, .4375, .0642, -.064, 0.041, -.041, .0283, -.028
0.001,   0.1,   0.5,   0.5, .0698, -0.07, .0532, -.053, .0238, -.024
0.001,   0.1, 0.625, 0.375, .0739, -.074, .0453, -.045, -.002, .0018
0.001,   0.1, .4375, 0.625, .0632, -.063, .0477, -.048, .0116, -.012
0.001,   0.1, 0.375,  0.75, 0.035, -.035, .0078, -.008, .0097, -0.01
0.001,   0.1, .5625, .8125, .0717, -.072, .0373, -.037, .0189, -.019
0.001,   0.1,   0.5, 0.375, .0139, -.014, .0079, -.008,  -0.0,   0.0
0.001,   0.1,   0.5, 0.375, 0.066, -.066, .0434, -.043, .0185, -.019
0.001,   0.1, 0.375, .5625, .0216, -.022, .0273, -.027, .0157, -.016
0.001,   0.1, 0.625,  0.75, .0516, -.052, .0557, -.056,  0.03, -0.03
0.001,   0.1,   0.5, .5625, 0.062, -.062, .0396, -0.04, .0281, -.028
0.001,   0.1, 0.375, 0.625, .0459, -.046, .0267, -.027, .0232, -.023
0.001,   0.1, .5625, .8125, .0643, -.064, .0417, -.042, .0323, -.032
0.001,   0.1, 0.625, .8125, .0612, -.061, .0514, -.051, .0285, -.028
0.001,   0.1, .6875,  0.75, .0666, -.067, .0244, -.024, .0208, -.021
0.001,   0.1, .5625,  0.75, .0446, -.045, .0364, -.036, .0324, -.032
0.001,   0.1,  0.75, .6875, .0683, -.068, .0534, -.053, .0317, -.032
0.001,   0.1, 0.625, .5625, .0369, -.037, .0195, -.019, .0311, -.031
0.001,   0.1, .6875,  0.75, .0658, -.066, .0397, -0.04, .0019, -.002
0.001,   0.1, 0.625,   0.5, .0788, -.079, .0492, -.049, .0287, -.029
0.001,   0.1, .4375, .5625, .0617, -.062, .0302, -0.03, .0231, -.023
0.001,   0.1,   0.5, .8125, .0178, -.018, 0.006, -.006, 0.004, -.004
0.001,   0.1, .5625, .5625, .0426, -.043, .0233, -.023, .0098, -0.01
0.001,   0.1, .6875, .4375, .0797, -0.08, .0356, -.036, .0242, -.024
0.001,   0.1,  0.75, .5625, .0476, -.048, .0342, -.034, .0151, -.015
0.001,   0.1, .5625, .5625, .0667, -.067, .0326, -.033, .0248, -.025
0.001,   0.1,   0.5, 0.625, .0628, -.063, .0343, -.034, .0298, -0.03
0.001,   0.1, 0.375, .5625, 0.031, -.031, .0173, -.017, .0041, -.004
0.001,   0.1, .5625, .5625, .0587, -.059, .0438, -.044, .0232, -.023
0.001,   0.1, 0.375,   0.5, .0216, -.022, .0216, -.022, .0038, -.004
