D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  1.5,   1.0,   1.0,   0.5, .8515, -.118, .3803, -.118, -.144, -.064, -.036, .0006, -.034, .0177, -.005, .1323
  1.5,   1.0,  0.75, 0.875, .1198, -.156, .3377, -.079, .0038, -.125, -.087, .1436, -.052, 0.036, -.014, -.035
  1.5,   1.0, 0.625, .6875, .2494, -.034, -.041, -.114, .2746, .0021, -.051, .0947, -.051, 0.111, 0.018, .0183
  1.5,   1.0,   1.0, .5625, .5332, -.119, -.029, -.192, .1895, .0233, -.017, 0.018, -.068, .1471, -.069, .0003
  1.5,   1.0, .8125, .9375, 0.295, -.005, .0065, -.156, .2972, .1818, -.052, .2607, -.131, -.067, -.036, -.036
  1.5,   1.0, .9375, .5625, .5668, -.119, 0.067, -.115, .3085, -0.11, -.053,  -0.0, -.034, 0.141, -0.05, .0533
  1.5,   1.0, 0.625,   0.5, .2505, .0011, .0364, -.118, .2078, -.002, -.018, .1033, .0183, .0156, -.017, 0.053
  1.5,   1.0, .6875, .8125, .1213, -.156, .1402, -.193, -.071, -.189, -.052, .1682, -.018, 0.036, -.101, .0167
  1.5,   1.0, 0.875, 0.625, .2174, -.121, -.002, -.035, .0339, -.038, -.049, .0003, 0.017, .1232, 0.115, .0208
  1.5,   1.0,   1.0, .4375, .8694, -.076, .2418, -.118, -.138, -.166, -.101, .0354, -.035, .2944, -0.07, .1102
  1.5,   1.0, .5625, .8125, .1333, -.113, .1544, -.192, .2675, .0033, -.103, .1127, -.071, .0992, -.034, -.003
  1.5,   1.0,   1.0, .4375, .6155, -0.08, .2205, -.192, .1827, .1193, -.087, 0.018, -.033,  0.18, -0.07, .2006
  1.5,   1.0, .9375,  0.75, .5837, -0.08, .3142, -.033, .0985, -.071, -.051, .0847, -.053, .1469, -.013, .0348
  1.5,   1.0, .3125, .9375, .1335, -.117, .6132, -.008, .1298, -.075, -.054, .1926, -.087, .0512, -.049, .0139
  1.5,   1.0, .8125,  0.75, .3566, -.118, .0952, -.081, .1478, -.118, -.036, -.018,  -0.0, .0515, -.018, -.001
  1.5,   1.0,   1.0, .6875, .4375, .0416, .3823, -.118, .0445, -.119, -.036, -.017, -0.07, .0865, -.042, -.015
  1.5,   1.0, .6875, .8125, 0.252, -.117, .1443, -.157, -.072, -.074, -.103, .1179, .0542, .0698, -.102, .0398
  1.5,   1.0, .6875, 0.625, .4124, -0.08, .3592, -.001, -.078, -.118, -.036, .0357, -.036, .0003, -0.07, 0.018
  1.5,   1.0, .9375,   0.5, .4617, -.084, .1306, -.085, .0622, -.113, -.017, .0689, -.052, -.052, -.022, .0698
  1.5,   1.0, .6875, .6875, .1962, -.075, .1127, -.117, .2849, -.039, -.049, .0805, -.036, 0.165, -.087, -.034
  1.5,   1.0, .8125, .5625, .5752, -.079, .4384, -0.18, .1468, -.036, -.018, 0.036, -.102, .1188, -.119, 0.055
  1.5,   1.0,   1.0, .8125, .8845, -.042, .0185, -.152, -.026, .0043, -.016, .1508, -.038, .1614, -.048, 0.046
  1.5,   1.0, .6875,  0.75, .3612, -.156, .5069, -.037, .1436, -.117, -.087, .1458, -.103, .0508, -.102, -.069
  1.5,   1.0,   0.5,   1.0, .1685, -.262, .2254, -.156, 0.423, -.037, -.068, .1335, -.035,  -0.0, -.034, -.018
  1.5,   1.0, .8125,  0.75, .2854, -.115, .1021, -.123, .0073, .0415, -.051, .1439, -.053, .0821, -.071, 0.046
  1.5,   1.0,   1.0, .8125, .5649, -.004, .3209, .0799, .2708, -.041, -.036, .0692, -.068, .1251, .0478, 0.018
  1.5,   1.0,   1.0, 0.625, 0.505, -.037, .1662, -.156, .1115, -.117, -.035, .1352, -.009, .0361, .0241, 0.017
  1.5,   1.0, .4375, 0.875,   0.0, -0.08, .2782, -.118, .0737, -.041, -.035, .1923, -0.07, 0.018, 0.036, .0485
  1.5,   1.0, .9375,   0.5, .6363, -.118, .0819, -.081, 0.007, -0.19, -.036,  -0.0, -.052, .1523, .0003, -.054
  1.5,   1.0, .9375, .5625, .3381, -.118, 0.111, -.039, -.059, -.076,  -0.1, .0158, -.003, .1506, -.051, -.003
  1.5,   1.0,   1.0, .5625, .7486, -.122, .3428, -.156, -.031, -.156, -.087, .1033, -.053, -.034, -.002, .0698
  1.5,   1.0, 0.625, .9375, -.036, -.148, .1062, -.191, -.033, -.094, -.083, .3535, -.045, .1632, -.083, .0396
  1.5,   1.0, 0.875,   0.5, .2959, .1182, -.048, -.037, .1546, -.032, -.036, .0177, -.053, .0859, -.035, .0167
  1.5,   1.0, 0.875, .5625, .3867, -.119, .2116, -.077,  -0.0,  -0.0, -.082, 0.085, -.087, .0518, -.083, .0778
  1.5,   1.0, .9375,  0.75, .4398, -.153, .1747, -.041, -0.04, -.045, .0338, .0673, -0.07, .0975, -.069, .0345
  1.5,   1.0, 0.875, 0.875, 0.351, -.157, .6464, -.118, .0435, -.116, -.018, .2749, -.069, .0161, -.047, .0932
  1.5,   1.0,   1.0, 0.625, .8131, -.041, 0.316, -0.19, -.026, -.186, -.036, .0521, -.101, .0873, .0186, .1622
  1.5,   1.0, 0.875, .8125, .2869, -0.08, .2058, -.037, -.095, -.081,  -0.0, .2169, -.034, .1091, .0157, .0505
