D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  1.5,   1.5,  0.75, .9375, .1919,   0.0, 0.229, -.046, -.061, -.074, -.038, .7477, -.117, .1607, -.159, .3111
  1.5,   1.5, 0.875,   0.5, .4087, -.041, .1556, -.001, -.042, -0.08, -0.08, .0394, -.037, .0373, -.043, .2099
  1.5,   1.5,   1.0, 0.625, .5944, -0.08, .2727, -.017, -.004, -.039, -.081, .0011, -.043, .0384, .0018, .1872
  1.5,   1.5, 0.875,   1.0, .2272, -.045, .0636, -.118, .0174, -.107, -.118, .4031, -0.15, .2735, -.227, .0141
  1.5,   1.5, .5625,   1.0, -.001, -.012, 0.505, -.118, .0019, -.119, -.041, .7675, -.043, .1676, .0016, .0129
  1.5,   1.5,  0.75, .8125, .0799, -.036, .0553, -0.08, -.001, -.113, -0.08, 0.309, -.037, -.037, -.041, .1259
  1.5,   1.5, .8125, .3125, .1172, -0.08, -.003, -.037, .0372, .0043, .0342, .1457, -.156, .2615, -.001, .1707
  1.5,   1.5, 0.625, .8125, .1394, -.003, 0.069, .0011, -0.08, -.118, -.041, .1919, -.077, -.005, -.115, .1448
  1.5,   1.5,  0.75,  0.75, .3198, -0.08, .1556, -.117, .1594, -0.08,   0.0, .1556, .0405, .0818, -.037, .0334
  1.5,   1.5,   1.0, .4375, .4506, -0.08, .1947, .0031, -.037, -.006, -.041, -.115, -.113, .2396, -.007, .3854
  1.5,   1.5, .9375,   1.0, .3883, -.156, -.007, -.113, .1471, -.145, -0.08, .7788, -.222, .4548, -.255, -.132
  1.5,   1.5,   1.0, .5625, .8513, -.081, -.013, -.079, .0446, -.072, .1079, .1919, -.072, .5846, -0.04, .3466
  1.5,   1.5, .6875,   1.0, .2616, -.156, 0.346, -.001, -.068, -.073, -.041, .5456, -.043, .0195, -.149, 0.017
  1.5,   1.5,   1.0, .8125, 0.819, -.037, .0421, -0.07, .1218, -.047, -.039, .0799, -.227, .0788, -.016, .1853
  1.5,   1.5,   1.0,  0.75, .7034, -.119, .2742, -.115, .2375, -.086, -.118, .0043, -.075, .2927, -.157, -.121
  1.5,   1.5, 0.625,   1.0, .0394, -.156, .2451, -0.22, -.038, -.001, -.118, .7555, -.111, .0769, -.188, .1737
  1.5,   1.5, 0.625, 0.875, .1442, -.118, .1938, -.039, .2323, -.137, -.115, .4759, .0011, .4595, -.122, -.192
  1.5,   1.5, 0.625,   1.0,   0.0, -.041, 0.172, -.039, -.056, -0.08, -.041, .5202, -.081, .1556, -.117, .0021
  1.5,   1.5,   1.0, .6875, .6364, -0.08, .1552, -.114, 0.104, -.002, -0.08, .1918, -.149, -.192, -.037, .1786
  1.5,   1.5, 0.875, .5625, .4979, -0.08, .0887, -.155, .2479, -.192, -.041, .0308, -.123, .2177, -.156, .0406
  1.5,   1.5, 0.625, .8125, -.037, -.118, .3037, -.118, .1536, -.099, -0.15, 0.613, -.113, .5905, -.034, .1198
  1.5,   1.5, 0.625,   1.0, .1556, -0.08, .3193, -.038, .0274, .1551, -.041, .7258, -.118, .0043, -.227, .0039
  1.5,   1.5, .9375, .8125, .5252, -.115, .2633, -.077, -.044, .0058, -0.15, .2619, -.118, .4456, -.031, .0162
  1.5,   1.5, .5625,   1.0, .1311, -.041, 0.169, -0.12, .1473, .0353, -.037, .4117, -.065, -.075, -.122, -.041
  1.5,   1.5, 0.625, 0.625, .0009, -.118, .1514, .0001, .1739, .0372, -.039, .0729, -.037, .0406, -.118, -0.04
  1.5,   1.5, 0.625, .8125, .1182, -0.08, .1193, -0.08, .0382, .0437, .0011, .6245, -.077, .5228, -.141, .2127
