D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  1.5,   0.0,   1.0,   0.5, .7764, -.148, .1201, -.202, .0596, -.255,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .8125, .8125, .5774, -.157, .2195, -.153, .2533, .0706,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, 0.375, .5202, -.079, .3745, -.183, -.047, -.157,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0,   0.5, .7819, -.077, .0857, -.208, .0576, -0.05,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, 0.875,  0.63, -.192, .4858, -.078, .2068, -.075,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, .4487, -.111, .0724, -0.08, .1454, -.111,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, 0.625, .4291, -.111, .1564, -.156, .2153, -.081,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, 0.875, .5594, -.156, .4053, -.192, 0.155, -.222,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .4375, .6875, .2936, -.156, .4775, -.039, 0.033, -0.08,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875,  0.75, .6916, -0.08, .5393, -0.08, .0508, -0.12,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .4375, 0.257, -.039, .1044, -.157, -.013, -.142,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, 0.258, -.156, .1928, -.113, .0571, -.191,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .5625, 0.557, -.121, .3481, -.115, -.046, -.142,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875,  0.75, .2056, -.118, 0.172, -0.08, .0364, -.001,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0,  0.75, .5974, -.122, .1505, -.152, .1611, .0102,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0,   0.5, .5414, -.118, 0.096, -.146, .2778, -.043,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, 0.625, .5151, -.156, .2039, -.147, .0641, -.064,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, .2162, -0.08, .1091, 0.113, -.004,  -0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .8125, 0.625, .3275, -.041, .1471, -.037, .3193, -.118,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0,   0.5, 0.765, -.155, .3987, -0.03, -.206, -.189,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.625, 0.625, .3308, -.106, .4624, .0342, .1469, -.075,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, 0.875, .3752, -.112, .3428, -.004, .1533, -.041,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, 0.875, .4921, -.192, .5341, -.002, .1555, -.035,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .5625, .4843, -.118, .2851, -.075, -.024, -.227,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, .2782, -.041, .1919, -.155, -.006, -.118,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875,  0.75, .4887, -.001, .3188, -.072, 0.277, -.156,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75, 0.625, .4878, -.115, .4443, -.113, .3318, -.152,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .6875, .4934, -.042, .2544, -.146, .1907, -.045,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .4375, .6875, .0772, -.158, .0942, .0285, .1984, -.037,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, 0.625, .6989, -.081, .0839, -.146, .3368, -.037,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875,   0.5, .8212, -.081, .4511, -.079, .0632, -.169,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.375, .4375, .2162, -.042, -.048, .0011, .3453, .0394,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .8125, .6875, 0.295, -.041, .1919, -.118, -.081, -.156,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .6875, .4268, -.042, .3016, -.113, .1103, 0.015,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75,   0.5, .3683,   0.0,  0.44,   0.0, .1287, -.037,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75, .6875, .5527, -.041, .7269, -.113, .1978, -.086,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .6875, .5832, -.038, .5935, -.001, .0184, -.024,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75, .5625, .2778, -.041, .1619,   0.0, .1556, -.009,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875,   0.5, .4743, .0139, .0628, -.077, .2799, .0065,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .6875, .3993, -.039, .3804, -.192, -.039, -0.08,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .6875, 0.721, -.118, .3963, -.177, .2216, -.152,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.625, .6875, .2373, -.118, .1145, -.111, .1143, .0401,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75,  0.75, .3678, -.038, .3727, -0.04, .2826, -.075,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, 0.293, -.141, .1107, -.108, .0211, -0.15,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .5625, .6662, -.005, 0.264, -.204, .1251, -.118,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .8125, .7834, -0.08, .2347, -.194, -.107, -.214,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .8125, .4361, -.115, 0.125, -0.08, .2518, .0404,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .6875, .7467, -.036, .5825, -.118, -.182, -.147,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, 0.625, .5232, -.083, .1514, -.077, .2466, -.038,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .3125, 0.625, .0442, -.149, .0798, -.155, .2657, -.001,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.625, 0.625, .3104, -.156, .2915, -.161, .0032, -.227,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.625, 0.625, .3387, -.077, .7479, -0.08, -.017, -.157,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, 0.625, .7374, -.118, .5949, -.076, -.018, -.134,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875,   0.5, .6415, -0.08, .1982, -.075, .2139, -.192,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75, 0.625, .2905, -.156, .1601, -.144, .2193, -.156,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .6875, .5513, -.075, .5941,  -0.0, -.071, -.146,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, .5186, -.117, .3913, -.227, .2153, -.035,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .5625, .5925, -.118, .2079, -.081, .1152, -.009,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .5625, .7035, -0.08, .5756, -.029, .0834, -.188,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .4375, .9349, -.079, .2967, -.109, .0779, -.127,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .4375, .5001, -.148, .3964, -.155, -.194, -.077,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .6875, .6582, -.187, .4503, .0004, .3909, -.111,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .5625, .4649, -.156, .1478, -.154, .0659, -.078,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .5625, .6875, .1556, -0.08, .1517, -0.08, -.081, -.041,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,  0.75, 0.625, 0.547, -.119, .2613, -.036, .1571, .0713,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .4375, .5082, -.039, .2951, -.147, -.004, -.189,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, 0.625, .6431, -.156, .5008, -.141, -.076, -.062,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .5625, 1.057, -.114, .5156, -0.03, -.032, -.077,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, 0.625, .4204, -0.15, .2055, -.117, -.082, -.005,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .6875, .6875, 0.214, -.118, .2243, -.037, -.002, .0809,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, 0.875, .5625, .3884, -.041, .0884, -0.08, -.081, 0.032,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0,  0.75, .5951, -.079, .0941, -.119, .1435, -.037,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .8125,   0.5, .4367, -.037, .3551, -.054, .1786, -0.02,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .8125,  0.75, .4373, -0.11, .5397, -.156, .2997, -0.08,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .6875,   0.5, .1202, -.042, .2272, -0.08, -.081, -.042,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .9375, .5625, .4558, -.192, .3995, -.153, -0.07, .0562,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0,  0.75, .9869, -0.15, 0.407, -.215, .2482, -.068,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0,   1.0, .6875, .7595, -.001, .4686, -.156, .1011, -.025,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .8125, .6875, .3146, -0.04, .3085, -.122, .2079, -0.01,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  1.5,   0.0, .6875,   0.5, .1759, -0.08, .0383, -.156, .0737, -.043,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
