D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  1.0,   1.5, .4375,   1.0, .0692, -.052, .1511, -.133, -.087, -.019, -.039, .7211, -.204, -.113, -.067, .3549
  1.0,   1.5, 0.625, .8125, .0865, -0.07, -.016, -.001, .0685, .0183, -.041, .2281, -.039, .0799, -.005, -.045
  1.0,   1.5, .6875,   1.0, .0831, -0.07, .1793, -.032, .0139, -.026, -.118, .7116, -.041, .0953, -.114, -.036
  1.0,   1.5,  0.75, .9375, .0003, -.053, 0.051, -.034, .0003, -.053, -0.08, .3267, -0.08, -.036, -.037, .1505
  1.0,   1.5, .5625, .6875, 0.036,   0.0, .1179, -.036, 0.053, -.018, -.001, .2612, -.041, .1433, -0.08, .1372
  1.0,   1.5,  0.75, .9375, .1185, -.119, -0.02, -.045, -.036, .0204, -.148, .1511, -.081, .0052, -0.08, .0394
  1.0,   1.5,   0.5,   0.5, .0508, .0003, .0183, -0.07, .0171, -.019, -.113, .1535,   0.0, 0.312, -0.08, .0033
  1.0,   1.5, .6875,   1.0, .0377, -.087, .0167, -.051, .0183, -.016, -.081, .4413, -.192, .1343,  -0.0, -.017
  1.0,   1.5, .9375,  0.75, .2344, -.036, .1245, -.068, .0195, -.103, -0.15, .2624, -0.08, -.008, -.074, .3775
  1.0,   1.5, .8125,   1.0, .0344, -.053, .1754, -.064, -.004, -.119, -.156, .6346, 0.077, .1464, .0633, .2067
  1.0,   1.5,   1.0, 0.625, .3384, -.035, .0412, -.085, .0336, -.052, -.118, .1546, -.159, .1547, -.045, -.021
  1.0,   1.5, 0.625,   1.0, .0186, -.053, -.034, .0466, .1135, -.036, -.119, .4938, -.081, .3432, -.079, .1841
  1.0,   1.5, 0.875,  0.75, 0.209, -.087, .0692, .0317, -.003, -.067, -.037, .2262, -.155, .2164, -.118, .1856
