D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  0.0,   0.5,  0.75, .6875,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.022, .0938, -.031, .0517, -.001, -.005
  0.0,   0.5, .6875, 0.625,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.079, .0776, -.019, .0598, -.038, .0157
  0.0,   0.5, .6875, .6875,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.081, .0682, -.017,  0.06, -.047, .0447
  0.0,   0.5, .5625, .6875,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.037, .0817, .0098, 0.048, -.025, .0214
  0.0,   0.5, .3125,  0.75,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.049, .0947, -.041, .0215, -.023, .0057
  0.0,   0.5, 0.625, 0.625,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.028, .1052, -.049, .0509, .0107, .0014
  0.0,   0.5,  0.75, .5625,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -0.06, .0929, -.048, .0759, -.009, .0435
  0.0,   0.5, .5625, .6875,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.054, .1321, -.036, .0107, -.001, .0544
  0.0,   0.5, .6875, .5625,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.033, 0.075, -.017, .0639, -.018, .0234
  0.0,   0.5, .5625, .5625,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.026, .0604, -.013, -.004, -.004, .0041
  0.0,   0.5, 0.625,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.034, .0384, -.041, .0287, -.004, 0.026
  0.0,   0.5,   0.5, .4375,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.063, .0812, -.036, .0365, .0047, .0738
  0.0,   0.5, .3125, 0.625,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.057, .0662, -.014, .0793, 0.012, .0212
  0.0,   0.5, .8125,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, -.082, .1381, -.042, .0588, -0.01, .0096
