D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  0.5,   1.5, 0.875, .9375, .0255, -.013, .0078, -.022, .0176, -.005, -0.08, .7247, -0.11, 0.288, -.067, .2505
  0.5,   1.5,  0.75, 0.875, .0346, -.025, .0126, -.042, .0328, .0002, -.227, 0.424, -.117, .1861, -.143, .1792
  0.5,   1.5, 0.625, .9375, .0391, .0045, .0458, -0.03, .0212, .0002, -0.15, .4806, -.156, -.002, -.046, .2062
  0.5,   1.5, .6875,  0.75, 0.013, -.039, .0002, .0003, .0131, .0047, -.118, .3012, -.085, 0.472, -.075, .0881
  0.5,   1.5, 0.875,   1.0, .0177, .0001, .0088, -.013, .0345, -.013, -.118, .3825, -.037, .1201, .0512, .0735
  0.5,   1.5,  0.75,   1.0, .0349, -.009,  0.03, -.055, .0302, -.005, -.156, .6117, -.148, .0877, -.162, -.065
  0.5,   1.5, .6875, .8125, .0042, -.035, .0335, -.013, .0171, .0004, -.156, .3023, -.111, .1589, -.112, .1881
  0.5,   1.5, .6875, .5625, .0217, -.013,   0.0, -.004, .0126, -.009, .0001, .3446, -.118, .6746, -0.04, .3368
  0.5,   1.5, .8125,   0.5, .0373, -.013, .0178, -.035, -.001, -.009, -.187, .0406, -.032, .2284, -.089, -.002
  0.5,   1.5,   0.5, .9375, .0045, .0001, .0176, .0001, -.004,   0.0, -.041, .3433, .0416, .1827, -0.08, .0873
  0.5,   1.5, 0.625,   1.0, .0256, -.031, -.009, -0.03, .0042, -.017, -.156, .6268, -.133, .2036, -.153, .0625
  0.5,   1.5,  0.75,   1.0, 0.009, .0002, .0255, -.013,  -0.0, -.018, -0.08, .7471, -.146, .2675, -.042, .0355
  0.5,   1.5,  0.75,   1.0, .0425, -.013, .0041, -.034, -.001, -.026, -.118, .5609, -.024, 0.111, -.044, .0408
  0.5,   1.5, 0.625, .8125, .0043,   0.0, -.004, -.004, -.005, .0045, -0.08, .3112, -.075, .2619, .0001, .0767
  0.5,   1.5, .5625, 0.625, .0305,  -0.0, .0302, -.005, .0043, -.004, -.118, .0809, -.118, -.037, -.081, .0029
  0.5,   1.5,   0.5, .9375, .0045, -.022, .0001, -.009, -.004,  -0.0, .0404, .5679, -0.08, .3169, -.039, .2174
  0.5,   1.5, 0.625,   1.0, .0171, -.022, .0089, -.009, .0002, -.016, -.118, .8049, -.114, .0438, -.188, .0456
  0.5,   1.5, .6875,   1.0, .0134, -.018,  -0.0, -.009, .0133, .0045, .0405, .4199, .0342, .3231, -.118, .1026
  0.5,   1.5, .4375, 0.875, .0045,  -0.0, .0045, .0086, 0.004, -.004, -.084, .5647, -0.08, 0.173, -.001, 0.299
  0.5,   1.5, 0.875, .8125, .0131, -.018, -.004, -.013, .0218, -.026, -0.08, .6695, -.076, .3481, -.118, .3943
  0.5,   1.5, .5625,   1.0, .0301, -.018, .0259, -.025, 0.036, -.026, 0.001, .9421, -.183, .5313, -.146, -.143
  0.5,   1.5, .6875, 0.875, .0088, .0134, .0176,   0.0, .0135, .0044, -0.08,  0.39, -.041, 0.171, -.038, -.192
  0.5,   1.5, .5625,  0.75, .0259, -.018, .0174, -.026, 0.038, -.013, -0.15, .2043, -.006, 0.338, -.193, -.115
  0.5,   1.5, 0.625,   0.5, .0178,  -0.0, .0044,  -0.0, .0045, -.005, -.118,  0.18, -.041, .2795, .0043, 0.068
  0.5,   1.5,  0.75, 0.625, .0217, -.018, -.001, -.034, .0045, .0178, -.156, 0.353, -.192, 0.118, -.039, .2818
