D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  1.5,   0.0, .8125,   0.5, .1002, -.049, 0.061, -.039, .0478, -.038
  1.5,   0.0, .6875, .6875, .1798, -.059, .0806, -.042, 0.044, -.034
  1.5,   0.0, .6875, 0.625, .0998, -.041, .0837, -.057, .0572, -.025
  1.5,   0.0, 0.875, .5625, .1635, -.073, .1005, -.067, .0155, -.023
  1.5,   0.0,  0.75, .4375, .0679, -.025, .0421, -.016, .0245, -.008
  1.5,   0.0, .5625, 0.625, .0594, -.068, 0.042,  -0.0, .0122, -0.03
  1.5,   0.0, .5625, 0.625, .0963, -.079, .0795, -.019, .0538, -0.02
  1.5,   0.0,  0.25,   0.5, .0519, -.033, .0811, -0.03, .0543, -.012
  1.5,   0.0, .3125,   0.5, .0759, -.041, 0.086, -.051, .0463, -.029
  1.5,   0.0, .5625, .5625, .2087, -.049, .1286, -.024, 0.002, .0115
  1.5,   0.0,   0.5, .4375, .0394, -.004, .0394, -.004, -.017,  -0.0
  1.5,   0.0,  0.75, .4375, .1905, -0.04, .0992, -.091, .0206, -.042
  1.5,   0.0,  0.75,   0.5, .0308, -.022, .0567, -.004, .0305, -.022
  1.5,   0.0, 0.625, 0.375, .1067, -.058, .0598, -.049, .0355, -.001
  1.5,   0.0, .6875, .5625, .1386, -.128, 0.111, .0023, .0263, -.018
  1.5,   0.0, .5625, .8125, .1238, -.075, .0866, -.058, .0272, -0.06
  1.5,   0.0, 0.625,  0.75, .1003, -0.04, .0741, -.023, .0102, -.008
  1.5,   0.0, .8125, .6875, .2491, -.065, 0.122, -.059, .0569, -.057
  1.5,   0.0, .8125, .5625, .1739, -.034, .0949, -.015, .0175, -.032
  1.5,   0.0, .8125, .5625, .0813, -.029, .0769, -.034, .0166, -.001
  1.5,   0.0, 0.625, .5625, .1414, -.068, .0723, -.037, .0489, -.047
  1.5,   0.0, .9375,   0.5, .1153, -.021, .0043, -.029, 0.039, -.005
  1.5,   0.0, .6875, 0.625, .0985, -.065, .0542, -.021, 0.064, -.029
  1.5,   0.0, .8125, 0.875, .1538, -.063, .0927, -.074, 0.057, -.051
  1.5,   0.0,  0.75,  0.75, .1806, -.095, .0668, -.081, .0749, .0045
  1.5,   0.0,  0.75,  0.75, .1921, -.096, .1798, -.056, .0725, -.032
  1.5,   0.0,   0.5, .5625, .1012, -0.09, .0876, -.035, .0328, -.042
  1.5,   0.0, .6875, 0.625, .1209, -.077, .0701, -.009, 0.039, -.012
  1.5,   0.0,  0.75, .4375, .1065, -.015, .0531, -.029, .0255, -.015
  1.5,   0.0, 0.875, .6875, .1166, -.078, .0596, -.058, .0372, -0.02
  1.5,   0.0, .5625, .8125, .0735, -.049, 0.083, -.014, .0384, -.038
  1.5,   0.0,  0.75, .6875, 0.108, -.059, 0.062, -.053, .0888, -.009
  1.5,   0.0, .4375, .5625, .0307, -.004, 0.035, -.018, .0306, -.013
  1.5,   0.0, 0.625,   0.5, .1004, -.057, 0.101, -.015, -.002, -.031
  1.5,   0.0, .6875, .8125, .2356, -.086, .1588, -.025, .0178, .0194
  1.5,   0.0, 0.625, .4375, .1492, -.044, .0577, -.037, .0085, -.063
  1.5,   0.0, 0.375, .4375, .0394, -.022, .0348, -.009, .0042, -.004
  1.5,   0.0, .8125, .6875, .1245, -.062, .1008, -.033,   0.0, -.032
  1.5,   0.0, 0.625, .5625, .1793, -.032, .0972, -.074, .0352, -.021
  1.5,   0.0,   0.5, 0.625, .1451, -0.08, .1337, -.035, .0447, -.068
  1.5,   0.0, 0.875,   0.5, .1307, -.053, .0836, -.065, -.021, -.011
  1.5,   0.0, .6875, .6875, .1722, -.084,   0.1, -.051, .0403, -.058
  1.5,   0.0, 0.875,  0.75, .0675, -.082, 0.032, -.016, .0328, -.018
